"country","hdi","pop2020"
"Norway","0.9540","5421.2410"
"Switzerland","0.9460","8654.6220"
"Ireland","0.9420","4937.7860"
"Hong Kong","0.9390","7496.9810"
"Germany","0.9390","83783.9420"
"Iceland","0.9380","341.2430"
"Australia","0.9380","25499.8840"
"Sweden","0.9370","10099.2650"
"Singapore","0.9350","5850.3420"
"Netherlands","0.9330","17134.8720"
"Denmark","0.9300","5792.2020"
"Finland","0.9250","5540.7200"
"Canada","0.9220","37742.1540"
"New Zealand","0.9210","4822.2330"
"United Kingdom","0.9200","67886.0110"
"United States","0.9200","331002.6510"
"Belgium","0.9190","11589.6230"
"Liechtenstein","0.9170","38.1280"
"Japan","0.9150","126476.4610"
"Austria","0.9140","9006.3980"
"Luxembourg","0.9090","625.9780"
"Israel","0.9060","8655.5350"
"South Korea","0.9060","51269.1850"
"Slovenia","0.9020","2078.9380"
"Spain","0.8930","46754.7780"
"Czech Republic","0.8910","10708.9810"
"France","0.8910","65273.5110"
"Malta","0.8850","441.5430"
"Italy","0.8830","60461.8260"
"Estonia","0.8820","1326.5350"
"Cyprus","0.8730","1207.3590"
"Greece","0.8720","10423.0540"
"Poland","0.8720","37846.6110"
"Lithuania","0.8690","2722.2890"
"United Arab Emirates","0.8660","9890.4020"
"Andorra","0.8570","77.2650"
"Slovakia","0.8570","5459.6420"
"Saudi Arabia","0.8570","34813.8710"
"Latvia","0.8540","1886.1980"
"Portugal","0.8500","10196.7090"
"Qatar","0.8480","2881.0530"
"Chile","0.8470","19116.2010"
"Brunei","0.8450","437.4790"
"Hungary","0.8450","9660.3510"
"Bahrain","0.8380","1701.5750"
"Croatia","0.8370","4105.2670"
"Oman","0.8340","5106.6260"
"Argentina","0.8300","45195.7740"
"Russia","0.8240","145934.4620"
"Belarus","0.8170","9449.3230"
"Kazakhstan","0.8170","18776.7070"
"Montenegro","0.8160","628.0660"
"Bulgaria","0.8160","6948.4450"
"Romania","0.8160","19237.6910"
"Palau","0.8140","18.0940"
"Barbados","0.8130","287.3750"
"Uruguay","0.8080","3473.7300"
"Kuwait","0.8080","4270.5710"
"Turkey","0.8060","84339.0670"
"Bahamas","0.8050","393.2440"
"Malaysia","0.8040","32365.9990"
"Seychelles","0.8010","98.3470"
"Trinidad and Tobago","0.7990","1399.4880"
"Serbia","0.7990","8737.3710"
"Iran","0.7970","83992.9490"
"Mauritius","0.7960","1271.7680"
"Panama","0.7950","4314.7670"
"Costa Rica","0.7940","5094.1180"
"Albania","0.7910","2877.7970"
"Georgia","0.7860","3989.1670"
"Sri Lanka","0.7800","21413.2490"
"Cuba","0.7780","11326.6160"
"Saint Kitts and Nevis","0.7770","53.1990"
"Antigua and Barbuda","0.7760","97.9290"
"Bosnia and Herzegovina","0.7690","3280.8190"
"Mexico","0.7670","128932.7530"
"Thailand","0.7650","69799.9780"
"Grenada","0.7630","112.5230"
"Colombia","0.7610","50882.8910"
"Brazil","0.7610","212559.4170"
